[2026-06-09 23:31:08,087][INFO]: Killed Steam process pid=472415 name=explorer.exe
[2026-06-09 23:31:08,087][INFO]: Killed Steam process pid=472421 name=tabtip.exe
[2026-06-09 23:31:08,087][INFO]: Killed Steam process pid=472423 name=xalia.exe
[2026-06-09 23:31:08,088][INFO]: Killed Steam process pid=472426 name=d3ddriverquery6
[2026-06-09 23:31:10,089][INFO]: Steam relaunch: machinectl shell
[2026-06-09 23:31:11,089][INFO]: Steam relaunch output (if any): check /tmp/deckyfin_steam_launch.log
[2026-06-09 23:31:11,090][INFO]: Steam restarted successfully with flags: ['-bigpicture']
[2026-06-09 23:31:47,853][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:47,917][INFO]: Found 74 non-Steam games for user 892854676
[2026-06-09 23:31:47,921][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:47,934][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:47,947][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:47,958][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:47,967][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:47,979][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:47,994][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,005][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,017][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,027][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,038][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,048][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,060][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,073][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,085][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,095][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,109][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,120][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,131][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,144][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,161][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,171][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,181][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:48,189][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:49,771][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:31:52,314][INFO]: Updated game config 'Clair Obscur - Expedition 33' with {'processing_state': {'status': 'installing', 'deps': ['vcrun2022', 'd3dx9'], 'pfxid': '3225169897'}}
[2026-06-09 23:31:52,317][INFO]: Selected Proton: GE-Proton10-34 (/home/deck/.local/share/Steam/compatibilitytools.d/GE-Proton10-34/files/bin/wine64, /home/deck/.local/share/Steam/compatibilitytools.d/GE-Proton10-34/files/bin/wineserver)
[2026-06-09 23:31:52,353][INFO]: Trying flatpak protontricks for vcrun2022 in prefix 3225169897
[2026-06-09 23:32:25,325][INFO]: Installed vcrun2022 in prefix 3225169897 (flatpak protontricks)
[2026-06-09 23:32:25,356][INFO]: Fixed prefix ownership to deck for /home/deck/.local/share/Steam/steamapps/compatdata/3225169897
[2026-06-09 23:32:25,393][INFO]: Trying flatpak protontricks for d3dx9 in prefix 3225169897
[2026-06-09 23:33:00,884][INFO]: Installed d3dx9 in prefix 3225169897 (flatpak protontricks)
[2026-06-09 23:33:00,925][INFO]: Fixed prefix ownership to deck for /home/deck/.local/share/Steam/steamapps/compatdata/3225169897
[2026-06-09 23:33:00,930][INFO]: Updated game config 'Clair Obscur - Expedition 33' with {'processing_state': None}
[2026-06-09 23:43:49,438][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,522][INFO]: Found 74 non-Steam games for user 892854676
[2026-06-09 23:43:49,526][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,542][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,559][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,575][INFO]: Auto-detected logged in Steam user 892854676
[2026-06-09 23:43:49,589][INFO]: Auto-detected logged in Steam user 892854676
